city,country,year,city,country,avg_temp,7 year MA,10 year MA,50 year MA,year,global avg_temp,7 year MA,10 year MA,50 year MA,standardized 7 year MA,standardized 10 year MA,standardized 50 year MA,standardized
Fort Worth,United States,1820,Fort Worth,United States,16.88,,,,1820,7.62,,,,,,,2.215223097
Fort Worth,United States,1821,Fort Worth,United States,17.33,,,,1821,8.09,,,,,,,2.142150803
Fort Worth,United States,1822,Fort Worth,United States,17.87,,,,1822,8.19,,,,,,,2.181929182
Fort Worth,United States,1823,Fort Worth,United States,17.46,,,,1823,7.72,,,,,,,2.261658031
Fort Worth,United States,1824,Fort Worth,United States,17.9,,,,1824,8.55,,,,,,,2.093567251
Fort Worth,United States,1825,Fort Worth,United States,18.38,,,,1825,8.39,,,,,,,2.190703218
Fort Worth,United States,1826,Fort Worth,United States,17.93,17.67857143,,,1826,8.36,8.131428571,,,2.174104006,,,2.144736842
Fort Worth,United States,1827,Fort Worth,United States,18.62,17.92714286,,,1827,8.81,8.301428571,,,2.159525039,,,2.113507378
Fort Worth,United States,1828,Fort Worth,United States,18.26,18.06,,,1828,8.17,8.312857143,,,2.172538237,,,2.23500612
Fort Worth,United States,1829,Fort Worth,United States,17.89,18.06285714,17.852,,1829,7.94,8.277142857,8.184,,2.182257508,2.181329423,,2.253148615
Fort Worth,United States,1830,Fort Worth,United States,18.68,18.23714286,18.032,,1830,8.52,8.391428571,8.274,,2.173306095,2.179357022,,2.192488263
Fort Worth,United States,1831,Fort Worth,United States,16.98,18.10571429,17.997,,1831,7.64,8.261428571,8.229,,2.191596057,2.187021509,,2.222513089
Fort Worth,United States,1832,Fort Worth,United States,17.81,18.02428571,17.991,,1832,7.45,8.127142857,8.155,,2.217788715,2.206131208,,2.390604027
Fort Worth,United States,1833,Fort Worth,United States,18.29,18.07571429,18.074,,1833,8.01,8.077142857,8.184,,2.237884683,2.208455523,,2.283395755
Fort Worth,United States,1834,Fort Worth,United States,18.5,18.05857143,18.134,,1834,8.15,7.982857143,8.144,,2.262168933,2.226669941,,2.26993865
Fort Worth,United States,1835,Fort Worth,United States,16.58,17.81857143,17.954,,1835,7.39,7.871428571,8.044,,2.263702359,2.231974142,,2.243572395
Fort Worth,United States,1836,Fort Worth,United States,16.67,17.64428571,17.828,,1836,7.7,7.837142857,7.978,,2.251367116,2.234645275,,2.164935065
Fort Worth,United States,1837,Fort Worth,United States,17.47,17.47142857,17.713,,1837,7.38,7.674285714,7.835,,2.276619509,2.260753031,,2.367208672
Fort Worth,United States,1838,Fort Worth,United States,16.54,17.40857143,17.541,,1838,7.51,7.655714286,7.769,,2.273931704,2.257819539,,2.202396804
Fort Worth,United States,1839,Fort Worth,United States,17.64,17.38428571,17.516,,1839,7.63,7.681428571,7.738,,2.263157895,2.263634014,,2.311926606
Fort Worth,United States,1840,Fort Worth,United States,17.62,17.28857143,17.41,,1840,7.8,7.651428571,7.666,,2.259522031,2.271067049,,2.258974359
Fort Worth,United States,1841,Fort Worth,United States,17.66,17.16857143,17.478,,1841,7.69,7.585714286,7.671,,2.263276836,2.27845131,,2.296488947
Fort Worth,United States,1842,Fort Worth,United States,17.98,17.36857143,17.495,,1842,8.02,7.675714286,7.728,,2.262795459,2.263845756,,2.241895262
Fort Worth,United States,1843,Fort Worth,United States,17.44,17.47857143,17.41,,1843,8.17,7.742857143,7.744,,2.257380074,2.248192149,,2.134638923
Fort Worth,United States,1844,Fort Worth,United States,17.92,17.54285714,17.352,,1844,7.65,7.781428571,7.694,,2.254451992,2.255263842,,2.34248366
Fort Worth,United States,1845,Fort Worth,United States,17.76,17.71714286,17.47,,1845,7.85,7.83,7.74,,2.26272578,2.257105943,,2.262420382
Fort Worth,United States,1846,Fort Worth,United States,18.19,17.79571429,17.622,,1846,8.55,7.961428571,7.825,,2.235241342,2.25201278,,2.12748538
Fort Worth,United States,1847,Fort Worth,United States,17.06,17.71571429,17.581,,1847,8.09,8.002857143,7.896,,2.213673688,2.226570415,,2.108776267
Fort Worth,United States,1848,Fort Worth,United States,17.4,17.67857143,17.667,,1848,7.98,8.044285714,7.943,,2.197655834,2.224222586,,2.180451128
Fort Worth,United States,1849,Fort Worth,United States,17.86,17.66142857,17.689,,1849,7.98,8.038571429,7.978,,2.197085481,2.217222361,,2.238095238
Fort Worth,United States,1850,Fort Worth,United States,17.74,17.70428571,17.701,,1850,7.9,8,7.988,,2.213035714,2.215948923,,2.24556962
Fort Worth,United States,1851,Fort Worth,United States,17.91,17.70285714,17.726,,1851,8.18,8.075714286,8.037,,2.192110384,2.205549334,,2.189486553
Fort Worth,United States,1852,Fort Worth,United States,17.4,17.65142857,17.668,,1852,8.1,8.111428571,8.045,,2.176118352,2.196146675,,2.148148148
Fort Worth,United States,1853,Fort Worth,United States,17.17,17.50571429,17.641,,1853,8.04,8.038571429,8.032,,2.17771459,2.196339641,,2.135572139
Fort Worth,United States,1854,Fort Worth,United States,18.14,17.66,17.663,,1854,8.21,8.055714286,8.088,,2.192232665,2.183852621,,2.209500609
Fort Worth,United States,1855,Fort Worth,United States,17.61,17.69,17.648,,1855,8.11,8.074285714,8.114,,2.190905874,2.175006162,,2.171393342
Fort Worth,United States,1856,Fort Worth,United States,16.93,17.55714286,17.522,,1856,8,8.077142857,8.059,,2.173682349,2.174215163,,2.11625
Fort Worth,United States,1857,Fort Worth,United States,17.31,17.49571429,17.547,,1857,7.76,8.057142857,8.026,,2.171453901,2.186269624,,2.230670103
Fort Worth,United States,1858,Fort Worth,United States,17.9,17.49428571,17.597,,1858,8.1,8.045714286,8.038,,2.174360795,2.189226176,,2.209876543
Fort Worth,United States,1859,Fort Worth,United States,17.91,17.56714286,17.602,,1859,8.25,8.067142857,8.065,,2.177616434,2.182517049,,2.170909091
Fort Worth,United States,1860,Fort Worth,United States,18.34,17.73428571,17.662,,1860,7.96,8.055714286,8.071,,2.201454159,2.188328584,,2.304020101
Fort Worth,United States,1861,Fort Worth,United States,18.41,17.77285714,17.712,,1861,7.85,8.004285714,8.038,,2.220417633,2.203533217,,2.34522293
Fort Worth,United States,1862,Fort Worth,United States,18.35,17.87857143,17.807,,1862,7.56,7.925714286,7.984,,2.255767844,2.230335671,,2.427248677
Fort Worth,United States,1863,Fort Worth,United States,17.9,18.01714286,17.88,,1863,8.11,7.941428571,7.991,,2.268753373,2.237517207,,2.207151665
Fort Worth,United States,1864,Fort Worth,United States,17.41,18.03142857,17.807,,1864,7.98,7.972857143,7.968,,2.261601863,2.234814257,,2.181704261
