city,country,year,city,country,avg_temp,10 year MA,50 year MA,Global avg_temp,10 year MA,50 year MA,standardized 10 year MA,standardized 50 year
Oslo,Norway,1750,Oslo,Norway,3.57,,,8.72,,,,
Oslo,Norway,1751,Oslo,Norway,3.06,,,7.98,,,,
Oslo,Norway,1752,Oslo,Norway,-2.24,,,5.78,,,,
Oslo,Norway,1753,Oslo,Norway,2.15,,,8.39,,,,
Oslo,Norway,1754,Oslo,Norway,2.18,,,8.47,,,,
Oslo,Norway,1755,Oslo,Norway,1.8,,,8.36,,,,
Oslo,Norway,1756,Oslo,Norway,2.31,,,8.85,,,,
Oslo,Norway,1757,Oslo,Norway,2.52,,,9.02,,,,
Oslo,Norway,1758,Oslo,Norway,1.45,,,6.74,,,,
Oslo,Norway,1759,Oslo,Norway,2.64,1.944,,7.99,8.03,,0.242092154,
Oslo,Norway,1760,Oslo,Norway,1.75,1.762,,7.19,7.877,,0.223689222,
Oslo,Norway,1761,Oslo,Norway,2.97,1.753,,8.77,7.956,,0.220336853,
Oslo,Norway,1762,Oslo,Norway,1.9,2.167,,8.61,8.239,,0.263017356,
Oslo,Norway,1763,Oslo,Norway,1.91,2.143,,7.5,8.15,,0.262944785,
Oslo,Norway,1764,Oslo,Norway,2.13,2.138,,8.4,8.143,,0.262556797,
Oslo,Norway,1765,Oslo,Norway,1.45,2.103,,8.25,8.132,,0.258607969,
Oslo,Norway,1766,Oslo,Norway,2.93,2.165,,8.41,8.088,,0.267680514,
Oslo,Norway,1767,Oslo,Norway,1.66,2.079,,8.22,8.008,,0.259615385,
Oslo,Norway,1768,Oslo,Norway,1.73,2.107,,6.78,8.012,,0.262980529,
Oslo,Norway,1769,Oslo,Norway,2.03,2.046,,7.69,7.982,,0.256326735,
Oslo,Norway,1770,Oslo,Norway,1.8,2.051,,7.69,8.032,,0.255353586,
Oslo,Norway,1771,Oslo,Norway,1.5,1.904,,7.85,7.94,,0.239798489,
Oslo,Norway,1772,Oslo,Norway,1.73,1.887,,8.19,7.898,,0.238921246,
Oslo,Norway,1773,Oslo,Norway,2.99,1.995,,8.22,7.97,,0.250313676,
Oslo,Norway,1774,Oslo,Norway,1.42,1.924,,8.77,8.007,,0.240289746,
Oslo,Norway,1775,Oslo,Norway,3.38,2.117,,9.18,8.1,,0.261358025,
Oslo,Norway,1776,Oslo,Norway,2.27,2.051,,8.3,8.089,,0.253554209,
Oslo,Norway,1777,Oslo,Norway,1.85,2.07,,8.26,8.093,,0.255776597,
Oslo,Norway,1778,Oslo,Norway,2.36,2.133,,8.54,8.269,,0.257951385,
Oslo,Norway,1779,Oslo,Norway,3.98,2.328,,8.98,8.398,,0.277208859,
Oslo,Norway,1780,Oslo,Norway,2.2,2.368,,9.43,8.572,,0.27624825,
Oslo,Norway,1781,Oslo,Norway,3.04,2.522,,8.1,8.597,,0.293358148,
Oslo,Norway,1782,Oslo,Norway,1.32,2.481,,7.9,8.568,,0.289565826,
Oslo,Norway,1783,Oslo,Norway,2.85,2.467,,7.68,8.514,,0.289758046,
Oslo,Norway,1784,Oslo,Norway,0.61,2.386,,7.86,8.423,,0.283271993,
Oslo,Norway,1785,Oslo,Norway,1.33,2.181,,7.36,8.241,,0.264652348,
Oslo,Norway,1786,Oslo,Norway,1.08,2.062,,8.26,8.237,,0.250333859,
Oslo,Norway,1787,Oslo,Norway,2.3,2.107,,8.03,8.214,,0.25651327,
Oslo,Norway,1788,Oslo,Norway,1.83,2.054,,8.45,8.205,,0.250335161,
Oslo,Norway,1789,Oslo,Norway,2.7,1.926,,8.33,8.14,,0.236609337,
Oslo,Norway,1790,Oslo,Norway,2.72,1.978,,7.98,7.995,,0.247404628,
Oslo,Norway,1791,Oslo,Norway,2.89,1.963,,8.23,8.008,,0.24512987,
Oslo,Norway,1792,Oslo,Norway,2.51,2.082,,8.09,8.027,,0.259374611,
