city,country,year,city,country,avg_temp,7 year MA,10 year MA,50 year MA,year,global avg_temp,7 year MA,10 year MA,50 year MA,standardized 7 year MA,standardized 10 year MA,standardized 50 year MA,standardized
Shanghai,China,1841,Shanghai,China,14.87,,,,1841,7.69,,,,,,,1.933680104
Shanghai,China,1842,Shanghai,China,15.43,,,,1842,8.02,,,,,,,1.92394015
Shanghai,China,1843,Shanghai,China,15.53,,,,1843,8.17,,,,,,,1.900856793
Shanghai,China,1844,Shanghai,China,15.33,,,,1844,7.65,,,,,,,2.003921569
Shanghai,China,1845,Shanghai,China,15.43,,,,1845,7.85,,,,,,,1.965605096
Shanghai,China,1846,Shanghai,China,15.85,,,,1846,8.55,,,,,,,1.85380117
Shanghai,China,1847,Shanghai,China,15.78,15.46,,,1847,8.09,8.002857143,,,1.931810068,,,1.950556242
Shanghai,China,1848,Shanghai,China,15.02,15.48142857,,,1848,7.98,8.044285714,,,1.924524951,,,1.882205514
Shanghai,China,1849,Shanghai,China,15.44,15.48285714,,,1849,7.98,8.038571429,,,1.92607073,,,1.934837093
Shanghai,China,1850,Shanghai,China,15.6,15.49285714,15.428,,1850,7.9,8,7.988,,1.936607143,1.931397096,,1.974683544
Shanghai,China,1851,Shanghai,China,15.22,15.47714286,15.463,,1851,8.18,8.075714286,8.037,,1.916504511,1.923976608,,1.860635697
Shanghai,China,1852,Shanghai,China,15.44,15.47857143,15.464,,1852,8.1,8.111428571,8.045,,1.908242339,1.922187694,,1.90617284
Shanghai,China,1853,Shanghai,China,15.79,15.47,15.49,,1853,8.04,8.038571429,8.032,,1.924471299,1.928535857,,1.963930348
Shanghai,China,1854,Shanghai,China,15.99,15.5,15.556,,1854,8.21,8.055714286,8.088,,1.924100018,1.923343225,,1.947624848
Shanghai,China,1855,Shanghai,China,15.84,15.61714286,15.597,,1855,8.11,8.074285714,8.114,,1.93418259,1.922233177,,1.953144266
Shanghai,China,1856,Shanghai,China,15.55,15.63285714,15.567,,1856,8,8.077142857,8.059,,1.935443933,1.931629234,,1.94375
Shanghai,China,1857,Shanghai,China,15.93,15.68,15.582,,1857,7.76,8.057142857,8.026,,1.946099291,1.941440319,,2.052835052
Shanghai,China,1858,Shanghai,China,15.49,15.71857143,15.629,,1858,8.1,8.045714286,8.038,,1.95365767,1.944389152,,1.912345679
Shanghai,China,1859,Shanghai,China,15.64,15.74714286,15.649,,1859,8.25,8.067142857,8.065,,1.952009917,1.940359578,,1.895757576
Shanghai,China,1860,Shanghai,China,15.05,15.64142857,15.594,,1860,7.96,8.055714286,8.071,,1.941656322,1.93210259,,1.890703518
Shanghai,China,1861,Shanghai,China,15.29,15.54142857,15.601,,1861,7.85,8.004285714,8.038,,1.941638408,1.940905698,,1.947770701
Shanghai,China,1862,Shanghai,China,14.47,15.34571429,15.504,,1862,7.56,7.925714286,7.984,,1.936193223,1.941883768,,1.914021164
Shanghai,China,1863,Shanghai,China,15.2,15.29571429,15.445,,1863,8.11,7.941428571,7.991,,1.926065839,1.932799399,,1.874229346
Shanghai,China,1864,Shanghai,China,14.85,15.14142857,15.331,,1864,7.98,7.972857143,7.968,,1.899122021,1.924071285,,1.860902256
Shanghai,China,1865,Shanghai,China,15.72,15.17428571,15.319,,1865,8.18,7.984285714,7.975,,1.900518876,1.920877743,,1.921760391
Shanghai,China,1866,Shanghai,China,15.54,15.16,15.318,,1866,8.29,7.99,8.004,,1.897371715,1.913793103,,1.874547648
Shanghai,China,1867,Shanghai,China,15.95,15.28857143,15.32,,1867,8.44,8.058571429,8.072,,1.897181351,1.897918731,,1.889810427
Shanghai,China,1868,Shanghai,China,15.86,15.37,15.357,,1868,8.25,8.115714286,8.087,,1.893856715,1.898973661,,1.922424242
Shanghai,China,1869,Shanghai,China,16.09,15.60142857,15.402,,1869,8.43,8.24,8.105,,1.893377254,1.900308452,,1.908659549
Shanghai,China,1870,Shanghai,China,15.95,15.70857143,15.492,,1870,8.2,8.252857143,8.129,,1.903410074,1.905769467,,1.945121951
Shanghai,China,1871,Shanghai,China,16.31,15.91714286,15.594,,1871,8.12,8.272857143,8.156,,1.924020031,1.91196665,,2.00862069
Shanghai,China,1872,Shanghai,China,16.12,15.97428571,15.759,,1872,8.19,8.274285714,8.219,,1.930593923,1.917386543,,1.968253968
Shanghai,China,1873,Shanghai,China,15.74,16.00285714,15.813,,1873,8.35,8.282857143,8.243,,1.932045533,1.918354968,,1.88502994
Shanghai,China,1874,Shanghai,China,15.68,15.96428571,15.896,,1874,8.43,8.281428571,8.288,,1.927721235,1.917953668,,1.860023725
Shanghai,China,1875,Shanghai,China,15.47,15.90857143,15.871,,1875,7.86,8.225714286,8.256,,1.934004863,1.922359496,,1.968193384
Shanghai,China,1876,Shanghai,China,15.6,15.83857143,15.877,,1876,8.08,8.175714286,8.235,,1.937270662,1.927990285,,1.930693069
Shanghai,China,1877,Shanghai,China,15.43,15.76428571,15.825,,1877,8.54,8.224285714,8.245,,1.916796943,1.919345058,,1.806791569
Shanghai,China,1878,Shanghai,China,15.46,15.64285714,15.785,,1878,8.83,8.325714286,8.303,,1.878860673,1.901120077,,1.750849377
Shanghai,China,1879,Shanghai,China,16.13,15.64428571,15.789,,1879,8.17,8.322857143,8.277,,1.879677309,1.907575208,,1.974296206
Shanghai,China,1880,Shanghai,China,15.28,15.57857143,15.722,,1880,8.12,8.29,8.269,,1.879200414,1.901318176,,1.881773399
Shanghai,China,1881,Shanghai,China,15.63,15.57142857,15.654,,1881,8.27,8.267142857,8.284,,1.883532055,1.889666828,,1.889963724
Shanghai,China,1882,Shanghai,China,15.54,15.58142857,15.596,,1882,8.13,8.305714286,8.278,,1.875988992,1.884029959,,1.911439114
Shanghai,China,1883,Shanghai,China,15.41,15.55428571,15.563,,1883,7.98,8.291428571,8.241,,1.875947622,1.888484407,,1.931077694
Shanghai,China,1884,Shanghai,China,14.92,15.48142857,15.487,,1884,7.77,8.181428571,8.175,,1.892264711,1.894434251,,1.92020592
Shanghai,China,1885,Shanghai,China,14.91,15.40285714,15.431,,1885,7.92,8.051428571,8.181,,1.913058907,1.886199731,,1.882575758
Shanghai,China,1886,Shanghai,China,15.06,15.25,15.377,,1886,7.95,8.02,8.168,,1.901496259,1.882590597,,1.894339623
Shanghai,China,1887,Shanghai,China,15.65,15.30285714,15.399,,1887,7.91,7.99,8.105,,1.915251207,1.89993831,,1.978508217
Shanghai,China,1888,Shanghai,China,15.87,15.33714286,15.44,,1888,8.09,7.964285714,8.031,,1.92573991,1.922550118,,1.961681088
Shanghai,China,1889,Shanghai,China,15.3,15.30285714,15.357,,1889,8.32,7.991428571,8.046,,1.914908831,1.908650261,,1.838942308
Shanghai,China,1890,Shanghai,China,16.22,15.41857143,15.451,15.5374,1890,7.97,7.99,8.031,8.0976,1.929733596,1.923919811,1.918766054,2.035131744
Shanghai,China,1891,Shanghai,China,15.72,15.53285714,15.46,15.5544,1891,8.02,8.025714286,8.006,8.1042,1.935386258,1.931051711,1.919301103,1.960099751
Shanghai,China,1892,Shanghai,China,15.43,15.60714286,15.449,15.5544,1892,8.07,8.047142857,8,8.1052,1.939463874,1.931125,1.919064304,1.912019827
Shanghai,China,1893,Shanghai,China,15.13,15.61714286,15.421,15.5464,1893,8.06,8.062857143,8.008,8.103,1.936924167,1.925699301,1.91859805,1.877171216
Shanghai,China,1894,Shanghai,China,16.23,15.7,15.552,15.5644,1894,8.16,8.098571429,8.047,8.1132,1.938613512,1.932645706,1.918404575,1.988970588
Shanghai,China,1895,Shanghai,China,15.27,15.61428571,15.588,15.5612,1895,8.15,8.107142857,8.07,8.1192,1.925991189,1.931598513,1.916592768,1.873619632
Shanghai,China,1896,Shanghai,China,15.73,15.67571429,15.655,15.5588,1896,8.21,8.091428571,8.096,8.1124,1.937323446,1.933670949,1.917903456,1.915956151
Shanghai,China,1897,Shanghai,China,15.6,15.58714286,15.65,15.5552,1897,8.29,8.137142857,8.134,8.1164,1.915554775,1.924022621,1.916514711,1.881785283
Shanghai,China,1898,Shanghai,China,16.33,15.67428571,15.696,15.5814,1898,8.18,8.16,8.143,8.1204,1.920868347,1.927545131,1.918797104,1.996332518
Shanghai,China,1899,Shanghai,China,15.84,15.73285714,15.75,15.5894,1899,8.4,8.207142857,8.151,8.1288,1.916971279,1.932278248,1.917798445,1.885714286
Shanghai,China,1900,Shanghai,China,15.8,15.82857143,15.708,15.5934,1900,8.5,8.27,8.204,8.1408,1.91397478,1.914675768,1.915462854,1.858823529
Shanghai,China,1901,Shanghai,China,15.26,15.69,15.662,15.5942,1901,8.54,8.324285714,8.256,8.148,1.884846405,1.897044574,1.913868434,1.786885246
Shanghai,China,1902,Shanghai,China,16.27,15.83285714,15.746,15.6108,1902,8.3,8.345714286,8.279,8.152,1.897124273,1.901920522,1.914965653,1.960240964
Shanghai,China,1903,Shanghai,China,15.56,15.80857143,15.789,15.6062,1903,8.22,8.347142857,8.295,8.1556,1.893890125,1.903435805,1.913556329,1.892944039
Shanghai,China,1904,Shanghai,China,15.64,15.81428571,15.73,15.5992,1904,8.09,8.318571429,8.288,8.1532,1.901081917,1.89792471,1.913261051,1.933250927
Shanghai,China,1905,Shanghai,China,15.5,15.69571429,15.753,15.5924,1905,8.23,8.325714286,8.296,8.1556,1.885209334,1.898866924,1.911864241,1.883353584
Shanghai,China,1906,Shanghai,China,15.5,15.64714286,15.73,15.5914,1906,8.38,8.322857143,8.313,8.1632,1.880020597,1.89221701,1.90996178,1.849642005
Shanghai,China,1907,Shanghai,China,15.57,15.61428571,15.727,15.5842,1907,7.95,8.244285714,8.279,8.167,1.893952521,1.899625559,1.908191502,1.958490566
Shanghai,China,1908,Shanghai,China,15.67,15.67285714,15.661,15.5878,1908,8.19,8.194285714,8.28,8.1688,1.912656904,1.891425121,1.908211732,1.913308913
Shanghai,China,1909,Shanghai,China,15.84,15.61142857,15.661,15.5918,1909,8.18,8.177142857,8.258,8.1674,1.909154437,1.896464035,1.909028577,1.936430318
Shanghai,China,1910,Shanghai,China,15.26,15.56857143,15.607,15.596,1910,8.22,8.177142857,8.23,8.1726,1.903913347,1.8963548,1.908327827,1.856447689
Shanghai,China,1911,Shanghai,China,15.48,15.54571429,15.629,15.5998,1911,8.18,8.19,8.194,8.1792,1.898133612,1.907371247,1.907252543,1.892420538
Shanghai,China,1912,Shanghai,China,15.61,15.56142857,15.563,15.6226,1912,8.17,8.181428571,8.181,8.1914,1.902042954,1.902334678,1.907195351,1.910648715
